                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 285.04,                      0,                      0,                      0,                      0,                      0,                      0,                    368,                      0,                  6e-05,                  6e-05,                  6e-05
                      2,                      0,                 284.96,                      0,                      0,                      0,                      0,                      0,                      0,                 366.75,                      0,             0.00013931,             0.00013931,             0.00013931
                      3,                      0,                 285.18,                      0,                      0,                      0,                      0,                      0,                      0,                 369.25,                      0,             0.00021782,             0.00021782,             0.00021782
                      4,                      0,                 272.59,                      0,                      0,                      0,                      0,                      0,                      0,                    368,                      0,             0.00029554,             0.00029554,             0.00029554
                      5,                      0,                 254.25,                      0,                      0,                      0,                      0,                      0,                      0,                 368.75,                      0,             0.00037248,             0.00037248,             0.00037248
                      6,                      0,                 240.39,                      0,                      0,                      0,                      0,                      0,                      0,                  367.5,                      0,             0.00044862,             0.00044862,             0.00044862
                      7,                      0,                 224.61,                      0,                      0,                      0,                      0,                      0,                      0,                 363.25,                      0,             0.00052396,             0.00052396,             0.00052396
                      8,                      0,                 207.37,                      0,                      0,                      0,                      0,                      0,                      0,                 350.75,                      0,             0.00059852,             0.00059852,             0.00059852
                      9,                      0,                 199.04,                      0,                      0,                      0,                      0,                      0,                      0,                  338.5,                      0,             0.00067228,             0.00067228,             0.00067228
                     10,                      0,                 191.18,                      0,                      0,                      0,                      0,                      0,                      0,                 319.25,                      0,             0.00074525,             0.00074525,             0.00074525
                     11,                      0,                 179.97,                      0,                      0,                      0,                      0,                      0,                      0,                 249.25,                      0,             0.00081743,             0.00081743,             0.00081743
                     12,                      0,                 175.05,                      0,                      0,                      0,                      0,                      0,                      0,                 219.25,                      0,             0.00088882,             0.00088882,             0.00088882
                     13,                      0,                  177.1,                      0,                      0,                      0,                      0,                      0,                      0,                 185.88,                      0,             0.00095941,             0.00095941,             0.00095941
                     14,                      0,                 180.63,                      0,                      0,                      0,                      0,                      0,                      0,                 169.75,                      0,              0.0010292,              0.0010292,              0.0010292
                     15,                      0,                 169.27,                      0,                      0,                      0,                      0,                      0,                      0,                 132.75,                      0,              0.0010982,              0.0010982,              0.0010982
                     16,                      0,                 171.75,                      0,                      0,                      0,                      0,                      0,                      0,                  130.5,                      0,              0.0011664,              0.0011664,              0.0011664
                     17,                      0,                 166.31,                      0,                      0,                      0,                      0,                      0,                      0,                    122,                      0,              0.0012339,              0.0012339,              0.0012339
                     18,                      0,                 159.48,                      0,                      0,                      0,                      0,                      0,                      0,                 111.81,                      0,              0.0013005,              0.0013005,              0.0013005
                     19,                      0,                 153.31,                      0,                      0,                      0,                      0,                      0,                      0,                 91.188,                      0,              0.0013664,              0.0013664,              0.0013664
                     20,                      0,                  147.5,                      0,                      0,                      0,                      0,                      0,                      0,                 73.188,                      0,              0.0014314,              0.0014314,              0.0014314
                     21,                      0,                 148.38,                      0,                      0,                      0,                      0,                      0,                      0,                   40.5,                      0,              0.0014957,              0.0014957,              0.0014957
                     22,                      0,                 143.58,                      0,                      0,                      0,                      0,                      0,                      0,                  11960,                      0,              0.0015591,              0.0015591,              0.0015591
                     23,                      0,                 138.88,                      0,                      0,                      0,                      0,                      0,                      0,                 108.12,                      0,              0.0016218,              0.0016218,              0.0016218
                     24,                      0,                 134.08,                      0,                      0,                      0,                      0,                      0,                      0,                 93.125,                      0,              0.0016837,              0.0016837,              0.0016837
                     25,                      0,                 129.64,                      0,                      0,                      0,                      0,                      0,                      0,                     96,                      0,              0.0017448,              0.0017448,              0.0017448
                     26,                      0,                 141.37,                      0,                      0,                      0,                      0,                      0,                      0,                 63.969,                      0,              0.0017525,              0.0017525,              0.0017525
                     27,                      0,                  127.4,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0017525,              0.0017525,              0.0017525
                     28,                      0,                 123.36,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0017426,              0.0017426,              0.0017426
                     29,                      0,                 121.18,                      0,                      0,                      0,                      0,                      0,                      0,                 111.81,                      0,              0.0017327,              0.0017327,              0.0017327
                     30,                      0,                 116.67,                      0,                      0,                      0,                      0,                      0,                      0,                 51.312,                      0,              0.0017228,              0.0017228,              0.0017228
                     31,                      0,                 113.14,                      0,                      0,                      0,                      0,                      0,                      0,                   4384,                      0,              0.0017129,              0.0017129,              0.0017129
                     32,                      0,                 109.36,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.001703,               0.001703,               0.001703
                     33,                      0,                  105.4,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0016931,              0.0016931,              0.0016931
                     34,                      0,                 102.39,                      0,                      0,                      0,                      0,                      0,                      0,                  26928,                      0,              0.0016832,              0.0016832,              0.0016832
                     35,                      0,                 99.172,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0016733,              0.0016733,              0.0016733
                     36,                      0,                  95.84,                      0,                      0,                      0,                      0,                      0,                      0,                  29616,                      0,              0.0016634,              0.0016634,              0.0016634
                     37,                      0,                 96.537,                      0,                      0,                      0,                      0,                      0,                      0,                    520,                      0,              0.0016535,              0.0016535,              0.0016535
                     38,                      0,                 100.79,                      0,                      0,                      0,                      0,                      0,                      0,                   3756,                      0,              0.0016436,              0.0016436,              0.0016436
                     39,                      0,                 90.787,                      0,                      0,                      0,                      0,                      0,                      0,                  28640,                      0,              0.0016337,              0.0016337,              0.0016337
                     40,                      0,                 87.724,                      0,                      0,                      0,                      0,                      0,                      0,                 56.031,                      0,              0.0016238,              0.0016238,              0.0016238
