                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97696,                 1.6313,                0.94662,                0.99681,                      1,                  0.995,                0.68834,                 1.0296,                 1.4702,                 1.0864,              0.0016733,              0.0016733,              0.0016733
                     36,                0.96034,                 1.6464,                0.95446,                0.98658,                      1,                  0.995,                0.69045,                0.98593,                 1.3391,                 1.0959,              0.0016634,              0.0016634,              0.0016634
                     37,                0.96615,                 1.6494,                0.98835,                0.99291,                      1,                  0.995,                0.71641,                0.96735,                 1.3151,                  1.064,              0.0016535,              0.0016535,              0.0016535
                     38,                0.98659,                 1.5476,                0.98962,                      1,                0.98915,                  0.995,                0.73118,                0.95794,                 1.3234,                  1.046,              0.0016436,              0.0016436,              0.0016436
                     39,                0.92551,                 1.4417,                0.97057,                 0.9399,                0.94118,                 0.9875,                0.74633,                0.92724,                 1.3055,                 1.0399,              0.0016337,              0.0016337,              0.0016337
                     40,                0.88388,                 1.4767,                0.96216,                0.99781,                0.94118,                 0.9875,                0.70263,                0.94643,                 1.3157,                  1.046,              0.0016238,              0.0016238,              0.0016238
                     41,                0.91654,                 1.4383,                0.96882,                 0.9441,                0.99382,                0.99222,                0.72964,                0.95008,                 1.3418,                 1.0202,              0.0016139,              0.0016139,              0.0016139
                     42,                  0.959,                 1.5253,                 1.0285,                0.93667,                0.94118,                0.98621,                0.72177,                0.98039,                 1.4235,                0.99757,               0.001604,               0.001604,               0.001604
                     43,                0.89742,                 1.4372,                0.96577,                0.94404,                0.99266,                0.99222,                0.73938,                0.98348,                 1.3641,                0.99541,              0.0015941,              0.0015941,              0.0015941
                     44,                0.92363,                 1.2688,                0.93512,                0.99745,                      1,                  0.995,                0.71924,                 1.0123,                 1.2886,                 1.0535,              0.0015842,              0.0015842,              0.0015842
                     45,                0.92113,                 1.2613,                0.93735,                0.98995,                      1,                  0.995,                 0.7481,                0.94386,                 1.2913,                 1.0529,              0.0015743,              0.0015743,              0.0015743
                     46,                0.85642,                 1.2613,                0.95103,                      1,                0.98971,                  0.995,                0.73696,                0.92451,                 1.2796,                  1.015,              0.0015644,              0.0015644,              0.0015644
                     47,                0.89773,                 1.1872,                0.93207,                0.99289,                0.94118,                0.98974,                0.75574,                0.89959,                 1.1948,                 1.0114,              0.0015545,              0.0015545,              0.0015545
                     48,                0.85418,                 1.1006,                0.91903,                0.98103,                0.94118,                0.98974,                0.78708,                 0.9036,                 1.1725,                 1.0216,              0.0015446,              0.0015446,              0.0015446
                     49,                0.95029,                 1.3008,                0.96736,                      1,                 0.9948,                  0.995,                 0.7732,                0.88064,                 1.1499,                 1.0298,              0.0015347,              0.0015347,              0.0015347
                     50,                0.87937,                 1.1659,                0.94082,                      1,                0.99709,                  0.995,                0.73796,                 1.0062,                 1.0987,                 1.0883,              0.0015248,              0.0015248,              0.0015248
                     51,                0.84877,                 1.2282,                0.92747,                0.99752,                      1,                  0.995,                0.70316,                 1.0604,                 1.0009,                 1.1223,              0.0015149,              0.0015149,              0.0015149
                     52,                0.92844,                 1.1831,                0.94751,                0.93762,                      1,                0.98889,                 0.7282,                0.97713,                0.99368,                 1.0809,               0.001505,               0.001505,               0.001505
                     53,                0.81725,                  1.129,                0.94526,                0.93939,                      1,                0.99222,                0.74206,                0.94386,                0.96725,                 1.0767,              0.0014951,              0.0014951,              0.0014951
                     54,                0.86968,                 1.0965,                0.95751,                0.99407,                      1,                  0.995,                0.76239,                0.89337,                0.90708,                 1.0473,              0.0014852,              0.0014852,              0.0014852
                     55,                0.88436,                 1.3264,                0.93855,                0.99654,                      1,                  0.995,                0.74119,                0.87564,                0.91901,                 1.0477,              0.0014753,              0.0014753,              0.0014753
                     56,                0.93235,                 1.1549,                0.99269,                      1,                0.99803,                  0.995,                0.74693,                0.92283,                0.96521,                 1.0779,              0.0014654,              0.0014654,              0.0014654
                     57,                0.85603,                 1.0808,                0.97202,                 0.9927,                      1,                  0.995,                 0.7461,                0.92657,                0.94667,                 1.0642,              0.0014555,              0.0014555,              0.0014555
                     58,                0.88333,                 1.1083,                0.95966,                0.99405,                      1,                  0.995,                0.76503,                0.86795,                0.92971,                 1.0215,              0.0014456,              0.0014456,              0.0014456
                     59,                0.82379,                 1.0508,                0.91404,                0.99355,                      1,                  0.995,                0.77994,                 0.8845,                0.94294,                 1.0308,              0.0014357,              0.0014357,              0.0014357
                     60,                0.83085,                0.92246,                0.90892,                0.99278,                      1,                  0.995,                0.75815,                0.91423,                0.93543,                 1.0465,              0.0014258,              0.0014258,              0.0014258
                     61,                0.79802,                0.98547,                0.88372,                0.99537,                      1,                  0.995,                0.75193,                0.92303,                0.93623,                 1.0621,              0.0014159,              0.0014159,              0.0014159
                     62,                0.81519,                0.98237,                0.96015,                0.99466,                      1,                  0.995,                0.76951,                0.87087,                0.86561,                  1.052,               0.001406,               0.001406,               0.001406
                     63,                0.84779,                 0.9191,                0.94063,                0.99324,                      1,                  0.995,                0.77027,                0.85146,                0.79857,                  1.035,              0.0013961,              0.0013961,              0.0013961
                     64,                0.78678,                0.86473,                0.91103,                0.99213,                      1,                  0.995,                0.75148,                 0.8763,                0.79335,                 1.0464,              0.0013862,              0.0013862,              0.0013862
                     65,                0.83048,                0.94947,                0.96418,                0.99492,                      1,                  0.995,                0.76335,                0.96869,                0.83952,                  1.073,              0.0013763,              0.0013763,              0.0013763
                     66,                0.75182,                0.87151,                0.92562,                0.98736,                0.94118,                0.98974,                0.73841,                0.99343,                0.82315,                 1.0826,              0.0013664,              0.0013664,              0.0013664
                     67,                0.84678,                 1.0033,                0.94017,                0.99272,                      1,                  0.995,                0.74115,                0.94097,                0.80159,                 1.0715,              0.0013565,              0.0013565,              0.0013565
                     68,                0.79447,                0.89014,                0.92776,                 0.9827,                      1,                  0.995,                0.71625,                 0.9536,                0.75407,                 1.0734,              0.0013466,              0.0013466,              0.0013466
                     69,                0.86201,                0.95061,                0.97085,                0.99007,                      1,                  0.995,                0.71774,                0.91876,                 0.7385,                 1.0646,              0.0013367,              0.0013367,              0.0013367
                     70,                0.83622,                 0.9255,                0.93116,                0.99296,                      1,                  0.995,                0.74635,                0.90003,                0.71772,                 1.0391,              0.0013268,              0.0013268,              0.0013268
                     71,                0.92039,                0.95022,                0.94783,                0.99479,                      1,                  0.995,                0.74634,                0.91936,                0.72665,                 1.0537,              0.0013169,              0.0013169,              0.0013169
                     72,                0.96157,                0.89344,                0.95897,                0.99329,                      1,                  0.995,                0.74419,                0.89216,                0.72626,                 1.0457,               0.001307,               0.001307,               0.001307
                     73,                0.78706,                  0.862,                 0.9296,                0.99077,                      1,                  0.995,                0.73784,                0.98595,                0.74601,                 1.1051,              0.0012971,              0.0012971,              0.0012971
                     74,                0.78319,                0.81706,                0.89749,                0.98966,                      1,                  0.995,                0.73976,                0.99068,                0.71941,                 1.1311,              0.0012872,              0.0012872,              0.0012872
                     75,                  0.876,                0.83379,                0.93938,                0.99502,                      1,                  0.995,                0.74226,                0.93575,                0.67166,                 1.0968,              0.0012773,              0.0012773,              0.0012773
                     76,                0.84001,                0.91351,                0.95439,                0.99557,                      1,                  0.995,                0.76933,                0.82685,                0.63668,                 1.0163,              0.0012674,              0.0012674,              0.0012674
                     77,                0.78237,                0.86511,                  0.923,                0.99575,                      1,                  0.995,                0.74897,                0.81704,                0.64347,                 1.0152,              0.0012575,              0.0012575,              0.0012575
                     78,                0.78986,                0.80031,                0.92382,                 0.9958,                      1,                  0.995,                0.75544,                0.83358,                0.63847,                 1.0266,              0.0012476,              0.0012476,              0.0012476
                     79,                0.83982,                0.80983,                0.96661,                0.99634,                      1,                  0.995,                  0.753,                0.82914,                0.61093,                 1.0305,              0.0012377,              0.0012377,              0.0012377
                     80,                 0.7883,                0.72988,                0.91848,                0.99634,                      1,                  0.995,                0.79845,                0.78603,                0.59278,                 1.0156,              0.0012278,              0.0012278,              0.0012278
